Community Name,Address,Phone Number,Listing Price,Website URL,Image URL,Studio,1 BD,2 BD,3 BD,4 BD
44 South,"4411 S Congress Ave, Austin, TX 78745",(855) 205-0639,1250,http://www.44SouthAustin.com,https://app.repli360.com/storage/cws-apartments/alante-at-the-islands-1-cwal9j-540x360.jpg,1250,1420,1725,,
Anthem on 12th,"103 12th Ave, Seattle, WA 98122",877-204-5282,1399,http://www.anthemon12.com,https://app.repli360.com/storage/cws-apartments/austin-midtown-vysect-qjciaj-540x360.jpg,1399,1810,2320,,
Azure Creek,"29862 N Tatum Blvd, Cave Creek, AZ 85331",833-202-3263,1797,http://www.azurecreekapts.com,https://app.repli360.com/storage/cws-apartments/brooks-on-preston0-1-bgomj0-540x360.jpg,,1797,2003,,
Copperline at Point Ruston,"5005 Main Street, Tacoma, WA 98407",877-892-9107,1993,http://www.copperlinepointruston.com,https://app.repli360.com/storage/cws-apartments/marq-211-5-mf7q5p-540x360.jpg,,1993,2590,,
Marq 31,"3131 Timmons Ln, Houston, TX 77027",888-225-9825,1581,http://www.marq31.com,https://app.repli360.com/storage/cws-apartments/6-uvjaon-540x360.jpg,,1581,1940,,
Marq Eight,"8 Perimeter Ctr E Atlanta, GA 30346",888-226-0450,1502,http://www.MarqEightPerimeter.com,https://app.repli360.com/storage/cws-apartments/iliff-station-phay6z-yj4wlq-540x360.jpg,,1502,1783,,
Marq Inverness,"10001 E Dry Creek Rd Englewood, CO 80112",(855) 979-0388,1568,http://www.marqinverness.com,https://app.repli360.com/storage/cws-apartments/edited-pool-002-1-xzbuvp-540x360.jpg,,1568,1928,,
Marq on Burnet,"6701 Burnet Rd, Austin, TX 78757",833-202-5972,1330,http://www.marqonburnet.com,https://app.repli360.com/storage/cws-apartments/marqonponce-dfd9he-540x360.jpg,999,1330,2118,,
Marq Perimeter,"31 Perimeter Ctr E, Atlanta, GA 30346",855-638-1216,1453,http://www.MarqPerimeter.com,https://app.repli360.com/storage/cws-apartments/rtaimage-evvagx1212-540x360.jpg,,1453,1691,,
Marq Uptown,"3320 Harmon Ave, Austin, TX 78705",888-226-1068,1499,http://www.marquptown.com,https://app.repli360.com/storage/cws-apartments/marq-west-seattle-img-3199-zrbbkf-540x360.jpg,1499,1570,2500,,
Marquis at Barton Trails,"5417 S MoPac Expy, Austin, TX 78749",855-340-1155,1256,http://www.marquisbartontrails.com,https://app.repli360.com/storage/cws-apartments/0-2-wkmelu-540x360.jpg,,1256,1755,2277,
Marquis at Buckhead,"214 Colonial Homes Dr Nw, Atlanta, GA 30309",844-868-4335,1474,http://www.marquisbuckhead.com/,https://app.repli360.com/storage/cws-apartments/marquis-at-canyon-ridge-12-tu83sl-540x360.jpg,,1474,2120,,
Marquis at Caprock Canyon,"4411 Spicewood Springs Rd, Austin, TX 78759",833-202-5980,1279,http://www.marquiscaprockcanyon.com,https://app.repli360.com/storage/cws-apartments/marquisatchandler-1-dnyhb0-lkr2hm-540x360.jpg,,1279,1734,,
Marquis at Crown Ridge,"18385 Babcock Rd, San Antonio, TX 78255",888-226-6981,1235,http://www.marquiscrownridge.com,https://app.repli360.com/storage/cws-apartments/marquis-at-deerfield-1-p4s2oo-540x360.jpg,891,946,1235,1522,
Marquis at Great Hills,"10050 Great Hills Trail, Austin, TX 78759",888-226-8680,1189,http://www.mqgreathills.com,https://app.repli360.com/storage/cws-apartments/0-pqyuk0-540x360.jpg,,1189,1791,,
Marquis at Kingwood,"27600 Kings Manor Dr N, Kingwood, TX 77339",888-226-9011,1049,http://www.mqkingwood.com,https://app.repli360.com/storage/cws-apartments/marquis-at-ladera-vista-0-nzz19u-540x360.jpg,,1049,1317,2060,
Marquis at Lantana,"5210 Long Prairie Rd, Flower Mound, TX 75028",888-226-9397,1510,http://www.marquislantana.com,https://app.repli360.com/storage/cws-apartments/0-uori72-540x360.jpg,,1510,1837,2133,
Marquis at Morrison Plantation,"156 Capital Ave, Mooresville, NC 28117",888-226-9624,1295,http://www.mqmorrisonplantation.com,https://app.repli360.com/storage/cws-apartments/marquis-perimeter-center-33-adq87h-540x360.jpg,,1295,1480,1667,
Marquis at Silver Oaks,"3701 Grapevine Mills Pkwy, Grapevine, TX 76051",888-227-0725,1446,http://www.mqsilveroaks.com,https://app.repli360.com/storage/cws-apartments/marquisatsilverton-entrance-aerial-twilight-1-di6kja-540x360.jpg,,1446,1855,2543,
Marquis at Sonoran Preserve,"29675 N North Valley Pkwy Phoenix, AZ 85085",844-804-3829,1211,http://www.mqsonoranpreserve.com,https://app.repli360.com/storage/cws-apartments/marquis-at-stonebriar-14-ysyc32-540x360.jpg,,1211,1471,,
Marquis at Stonegate,"4200 Bridgeview Dr, Fort Worth, TX 76109",888-227-1364,1303,http://www.marquisstonegate.com,https://app.repli360.com/storage/cws-apartments/0-cover-1-z6r8rc-540x360.jpg,,1303,1591,2070,
Marquis at Sugarloaf,"2200 Satellite Blvd, Duluth, GA 30097",888-227-1693,1234,http://www.MQSugarloaf.com,https://app.repli360.com/storage/cws-apartments/marquis-at-texas-street-20-gwrm85-540x360.jpg,,1234,1591,1843,
Marquis at the Cascades,"4085 Hogan Dr, Tyler, TX 75709 757109",888-227-3188,1190,http://www.marquiscascades.com,https://app.repli360.com/storage/cws-apartments/0-cover-swhlxe-540x360.jpg,988,1190,1452,2122,2183
Marquis at The RIM,"16631 Vance Jackson, San Antonio, TX 78257",888-227-5915,1236,http://www.marquisattherim.com,https://app.repli360.com/storage/cws-apartments/woodlands-suaur9-kobhk6-540x360.jpg,,1236,1364,1577,
Marquis at Town Centre,"1001 E 1st Ave, Broomfield, CO 80020",888-227-6046,1548,http://www.mqtowncentre.net,https://app.repli360.com/storage/cws-apartments/tpc-1-gwsbo9-540x360.jpg,,1548,1941,,
Marquis at Treetops,"5217 Old Spicewood Springs Rd, Austin, TX 78731",888-227-6955,1556,http://www.mqtreetops.com,https://app.repli360.com/storage/cws-apartments/marquis-at-waterview-29-pl9sdk-540x360.jpg,,1556,1750,2218,
Marquis at Westchase,"2777 Woodland Park Dr, Houston, TX 77082",888-227-7984,1426,http://www.mqwestchase.com,https://app.repli360.com/storage/cws-apartments/marquis-bandera-24-jipjgl-540x360.jpg,,1426,1453,,
Marquis Carmel Commons,"6818 Northbury Ln, Charlotte, NC 28226",888-226-5129,1355,http://www.marquiscarmelcommons.com,https://app.repli360.com/storage/cws-apartments/marquis-of-carmel-valley-1-kofilx-rknaws-540x360.jpg,,1355,1509,1986,
Marquis Castle Pines,"520 Dale Ct, Castle Pines, CO 80108",833-229-5624,1652,http://www.marquiscastlepines.com,https://app.repli360.com/storage/cws-apartments/marquis-cresta-bella-1-tn7aqb-540x360.jpg,,1652,1929,,
Marquis Cross Mountain,"19414 Babcock Rd San Antonio, TX 78255",855-758-9746,1076,http://www.marquiscrossmountain.com,https://app.repli360.com/storage/cws-apartments/catalina-courtyard-a-view-1-hr-ezycjy-yoj8fe-540x360.jpg,,1076,1950,1654,
Marquis Ellis Crossing,"400 Advancement Ave, Durham, NC 27703",844-719-2828,1404,http://www.marquiselliscrossing.com,https://app.repli360.com/storage/cws-apartments/0-1-kj7lbf-540x360.jpg,,1404,1696,1980,
Marquis Lakeline Station,"13730 Ranch Road 620 N, Austin, TX 78717",844-766-7269,1037,http://www.marquislakelinestation.com,https://app.repli360.com/storage/cws-apartments/6-h7pt0n-540x360.jpg,,1037,1391,2230,
Marquis Midtown West,"1224 Defoor Village Ct Nw, Atlanta, GA 30318",888-228-0190,1372,http://www.MQMidtownWest.com,https://app.repli360.com/storage/cws-apartments/img-3422-st7gnv-540x360.jpg,,1372,1470,,
Marquis on Cary Parkway,"1100 Cameron Chase Dr Morrisville, NC 27560",888-228-0778,1292,http://www.mqcaryparkway.com,https://app.repli360.com/storage/cws-apartments/1-xujlr8-540x360.jpg,,1292,1611,1984,
Marquis on Evans,"1234 Evans Rd San Antonio, TX 78258",888-803-5966,1104,http://www.marquisonevans.com,https://app.repli360.com/storage/cws-apartments/marquisongaston-1-pivoel-pinhql-540x360.png,,1104,1314,1643,
Marquis on Lakeline,"2800 S Lakeline Blvd Cedar Park, TX 78613",844-766-4775,1024,http://www.marquisonlakeline.com,https://app.repli360.com/storage/cws-apartments/memorial-0-ya2e4l-540x360.jpg,1024,1048,1212,1952,
Marquis on Park Row,"15211 Park Row Houston, TX 77084",844-767-4448,1083,http://www.mqparkrow.com,https://app.repli360.com/storage/cws-apartments/marquis-on-pin-oak-2-mmjvbd-540x360.jpg,,1083,1190,1798,
Marquis on Westheimer,"2742 Jeanetta St, Houston, TX 77063",844-769-2237,1188,http://www.mqwestheimer.com,https://app.repli360.com/storage/cws-apartments/parkside-0-id1b9e-540x360.jpg,,1188,1238,,
Marquis Rockwall,"1470 John King Blvd, Rockwall, TX 75032",844-803-3682,1315,http://www.marquisrockwall.com,https://app.repli360.com/storage/cws-apartments/stratus-at-cinco-aerial7-ezxllu-ugaqw2-540x360.jpg,,1315,2442,,
Marquis SoCo,"304 E William Cannon Dr Austin, TX 78745",855-868-3448,1450,http://www.marquissoco.com,https://app.repli360.com/storage/cws-apartments/quill-ext-050-300ppi-vjlayx-ttonrl-1-540x360.jpg,,1450,1455,,
Regents West at 24th,"2401 San Gabriel St, Austin, TX 78705",(512) 524-0359,1050,http://www.regentswestcampus.com,https://app.repli360.com/storage/cws-apartments/regents-26th-0-rry8pz-540x360.jpg,1240,1875,1200,1200,1050
Sabina,"3400 Harmon Ave Austin, TX 78705",844-807-3529,1349,http://www.sabinaaustin.com,https://app.repli360.com/storage/cws-apartments/23-lhb8zi-540x360.jpg,1349,1472,2249,,
SoCo on the Lake,"222 E Riverside Dr Austin, TX 78704",844-811-3667,1284,http://www.socoapartments.com,https://app.repli360.com/storage/cws-apartments/the-704-3-eok7kc-540x360.jpg,1319,1284,1989,,
The Avery,"15222 FM 620 N, Austin, TX 78717",(855) 442-2271,1209,http://www.theaveryaustin.com,https://app.repli360.com/storage/cws-apartments/speakeasy-render-2-w5pokv-zsuiyw-540x360.jpg,,1209,1824,2349,
The Brunswick,"141 Holcomb Bridge Rd Norcross, GA 30071",855-631-5526,1524,http://www.TheBrunswickApt.com,https://app.repli360.com/storage/cws-apartments/theclark-cover-ihcuoc-540x360.jpg,,1524,2143,2790,
The Everett,"11205 N FM 620 Austin, TX 78726",,1349,https://www.theeverettaustin.com/,https://app.repli360.com/storage/cws-apartments/fairmont-at-willow-creek-0-meiqxr-540x360.jpg,,1349,1995,2565,
The Gabriel,"8421 183A Toll Road Leander, TX 78641",888-918-5141,1200,http://www.thegabrielaustin.com,https://app.repli360.com/storage/cws/the-height-1-540x360.png,,1200,1701,2341,
The Marq at Brookhaven,"50 Lincoln Court Ave NE, Atlanta, GA 30329",888-226-0276,1313,http://www.MarqBrookhaven.com,https://app.repli360.com/storage/cws-apartments/marq-at-ridgegate-1-k1kb5m-1-540x360.jpg,,1313,1969,2283,
The Marq on West 7th,"701 Arch Adams Ln, Fort Worth, TX 76107",844-872-7472,1096,http://www.marqonwest7th.com,https://app.repli360.com/storage/cws-apartments/marquis-at-brushy-creek-2-mc20af-540x360.jpg,1260,1096,1808,2453,
The Nash,"8213 Meadow Rd, Dallas, TX 75231",855-442-1403,1199,http://www.thenashapt.com,https://app.repli360.com/storage/cws-apartments/park-at-flower-mound-5-wfckoq-540x360.jpg,1199,1299,1737,2870,
The Preserve at Ballantyne Commons,"11280 Foxhaven Dr Charlotte, NC 28277",844-805-2015,1495,http://www.preserveballantyne.net,https://app.repli360.com/storage/cws-apartments/thewyatt-lobby-2-540x360.jpg,,1495,1783,2242,
Two99 Monroe,"299 Monroe Avenue Roanoke, TX 76262",(888) 215-8599,1449,http://www.cwstwo99monroe.com,https://app.repli360.com/storage/cws-apartments/water-marq-26-ak5mzc-540x360.jpg,,1449,1982,,
Westerly 360,"2500 Walsh Tarlton Ln Austin, TX 78746",855-810-7524,1722,http://www.westerly360austin.com/,https://app.repli360.com/storage/cws-apartments/whisper-creek-pool-twilight-1-bjzrka-540x360.jpg,,1722,2467,,
