company_name,building_name,raw_address,phone,amenities,floorplans
HSL Properties,Arboretum,"4700 N Kolb Rd Tucson, AZ 85750",(520) 263-8562,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Laundry Facility, Luxury, Pet Friendly, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Brittany Court,"9000 East Speedway Tucson, AZ 85710",(520) 502-6029,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Guest Parking Available, Laundry Facility, Pet Friendly, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Washer and Dryer, Yoga Studio","1 bedroom, 2 bedrooms"
HSL Properties,Camino Seco Village,"77 North Camino Seco Tucson, AZ 85710",(520) 348-1413,"24-Hour Emergency Maintenance, Ceiling Fans, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Pet Friendly, Playground, Pool, Spa, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Cantera,"3500 West Orange Grove Road, Tucson, AZ 85741, United States",(520) 346-4019,"24-Hour Emergency Maintenance, BBQ, Business Center, Ceiling Fans, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Playground, Pool, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Canyon Creek,"160 North Pantano Road Tucson, AZ 85710",(520) 843-0537,"24-Hour Emergency Maintenance, BBQ, Business Center, Ceiling Fans, Clubhouse, Conference Room, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Furnished Apartments, Laundry Facility, Pet Friendly, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Canyon Oaks,"600 North Pantano Road Tucson, AZ 85710",(520) 523-8561,"24-Hour Emergency Maintenance, BBQ, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Laundry Facility, Pet Friendly, Picnic Area, Pool, Recreation Room, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Tennis Court, Walk-In Closets, Yoga Studio","1 bedroom, 2 bedrooms"
HSL Properties,Catalina Canyon,"2300 West Ina Road, Tucson, AZ 85741, United States",(520)-502-7579,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, Basketball Court, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Game Room, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,Cottonwood Creek,"3111 East 4th Street, Tucson, AZ 85716",(520) 436-8971,"24-Hour Emergency Maintenance, BBQ, Ceiling Fans, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Guest Parking Available, Laundry Facility, Pet Friendly, Pool, Walk-In Closets","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Desert Sands,"720 W. Oâ€™Neil Dr. Casa Grande, AZ 85222, United States",(520) 253-7400,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, Basketball Court, BBQ, Ceiling Fans, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Pet Friendly, Picnic Area, Playground, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,El Dorado Place,"1150 North El Dorado Place Tucson, AZ 85715, United States",(520) 636-2881,"24-Hour Emergency Maintenance, BBQ, Cabanas, Ceiling Fans, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Guest Parking Available, Luxury, Pet Friendly, Picnic Area, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,El Encanto,"2651 South 8th, Yuma, AZ 85364, United States",(928) 833-1767,"24-Hour Emergency Maintenance, Basketball Court, BBQ, Ceiling Fans, Courtesy Patrol, Covered Parking, Enclosed Patios/Balconies, Fitness Center, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Recreation Room, Spa, Tennis Court","1 bedroom, 2 bedrooms, Studio"
HSL Properties,Encantada Canyon Trails,"16450 West Van Buren Street, Goodyear, AZ 85338, United States",(623) 343-4234,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Garage, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Recreation Room, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Dove Mountain,"4688 West Tangerine Road, Marana, AZ 85658, United States",(520) 595-3874,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Picnic Area, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Tennis Court, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Peoria,"10741 West El Cortez Place, Peoria, AZ 85383, United States",(623) 281-3656,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Cabanas, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Garage, Guest Parking Available, Luxury, Outdoor Fireplace, Pet Friendly, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Queen Creek,"20934 East Ocotillo Road, Queen Creek, AZ 85142, United States",(480) 613-8645,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Garage, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Steam Pump,"11177 North Oracle Road, Oro Valley, AZ 85737, United States",(520) 277-2363,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Picnic Area, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Tucson National,"8323 N. Shannon Road, Tucson, AZ 85742, United States",(520) 523-4353,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Garage, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms, Loft"
HSL Properties,Enclave at the Foothills,"7300 N Mona Lisa Rd, Tucson, AZ 85741, United States",(520) 779-3372,"24-Hour Emergency Maintenance, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Fitness Center, Guest Parking Available, Pet Friendly, Picnic Area, Playground, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Estancia,"2500 North Desert Links Drive Tucson, AZ 85715, United States",(520) 412-7938,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Fully-Gated Community, Laundry Facility, Pet Friendly, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Foothills,"5441 North Swan Road Tucson, AZ 85718, United States",(520) 657-2949,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Controlled Access, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Luxury, Movie Theater, Pet Friendly, Picnic Area, Pool, Spa, Storage Available","1 bedroom, 2 bedrooms"
HSL Properties,La Reserve Villas,"10700 North La Reserve Drive, Oro Valley, AZ 85737, United States",(520) 470-6821,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Pet Friendly, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Ridgepointe Apartments,"6001 East Pima Tucson, AZ 85712, United States",(520) 356-4363,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Courtesy Patrol, Covered Parking, Fireplace, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Rio Vista,"2000 East River Road, Tucson, AZ 85718, United States",(520) 502-6061,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,Riverstone,"6161 East Grant Road, Tucson, AZ 85712, United States",(520) 412-9746,"24-Hour Emergency Maintenance, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Furnished Apartments, Game Room, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Sand Volleyball Court, Spa, Tennis Court","1 bedroom, 2 bedrooms"
HSL Properties,Skyline Gateway,"4601 East Skyline Drive, Tucson, AZ 85718, United States",(520) 502-7673,"24-Hour Emergency Maintenance, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Dog Park, Fitness Center, Free Wi-Fi, Fully-Gated Community, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Somerpointe,"7351 East Speedway, Tucson, AZ 85710, United States",(520) 251-9337,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Wi-Fi, Furnished Apartments, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Sand Volleyball Court, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,Springhill,"8030 E Lakeside Pkwy, Tucson, AZ 85730, United States",(520) 346-7868,"24-Hour Fitness Center, BBQ, Ceiling Fans, Covered Parking, Enclosed Patios/Balconies, Fitness Center, Pet Friendly, Pool, Spa, Storage Available, Washer and Dryer","1 bedroom, 2 bedrooms"
HSL Properties,Sycamore Creek,"1701 North Wilmot Road, Tucson, AZ 85712, United States",(520) 636-7874,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Business Center, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Free Gym Passes, Free Wi-Fi, Guest Parking Available, Laundry Facility, Pet Friendly, Picnic Area, Pool, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms, Studio"
HSL Properties,Tanglewood,"5050 East 5th Street, Tucson, AZ 85711, United States",(520) 783-7690,"24-Hour Emergency Maintenance, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Enclosed Patios/Balconies, Laundry Facility, Movie Theater, Pet Friendly, Picnic Area, Playground, Pool, Social Lounge, Spa, Storage Available, Walk-In Closets","1 bedroom, 2 bedrooms"
HSL Properties,The Springs,"4900 East 5th Street, Tucson, AZ 85711, United States",(520) 619-7914,"24-Hour Emergency Maintenance, BBQ, Cabanas, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fitness Center, Free Wi-Fi, Guest Parking Available, Laundry Facility, Picnic Area, Playground, Spa, Walk-In Closets","1 bedroom, 2 bedrooms, Studio"
HSL Properties,Villas at Montebella,"1777 West Orange Grove Road, Tucson, AZ 85704, United States",(520) 464-9693,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, Basketball Court, BBQ, Ceiling Fans, Clubhouse, Courtesy Patrol, Courtyard, Covered Parking, Enclosed Patios/Balconies, Fireplace, Free Wi-Fi, Furnished Apartments, Garage, Guest Parking Available, Pet Friendly, Picnic Area, Playground, Pool, Spa, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,The Flin,110 South Church Ave.,(520) 729-9742,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, 24-Hour Front Desk, BBQ, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtyard, Dog Park, Elevators, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Luxury, Movie Theater, Outdoor Fireplace, Parking Garage, Pet Friendly, Social Lounge, Spa, Trash Pick-up Service, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms, Loft, Studio"
HSL Properties,Encantada Twin Peaks,"6355 W. Marana Center Blvd, Marana, AZ 85742",(520) 214-6491,,"1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Saguaro National,"5750 S. Houghton Rd., Tucson, AZ 85747",(520) 666-8625,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Rita Ranch,"9300 E. Valencia Road, Tucson, AZ 85747",(520) 650-5114,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada La Estancia,"7355 S Wilmot Rd. Tucson, AZ 85756",(520) 346-3842,,"1 bedroom, 2 bedrooms, 3 bedrooms"
HSL Properties,Encantada Continental Reserve,"6101 Arizona Pavilions Drive, Tucson, AZ 85743, USA",(520) 727-5913,"24-Hour Emergency Maintenance, 24-Hour Fitness Center, BBQ, Cabanas, Ceiling Fans, Clubhouse, Conference Room, Controlled Access, Courtesy Patrol, Covered Parking, Dog Park, Enclosed Patios/Balconies, Fitness Center, Free Bike Rental, Free Wi-Fi, Fully-Gated Community, Guest Parking Available, Luxury, Movie Theater, Outdoor Fireplace, Pet Friendly, Playground, Pool, Social Lounge, Spa, Starbucks Coffee or Coffee Bar, Storage Available, Walk-In Closets, Washer and Dryer","1 bedroom, 2 bedrooms, 3 bedrooms"
