HUD Metro Fair Market Rent Area Name,CBSASub24,HUD,Realpage,Zillow,Realpage Market Share,Avg of Rents
"Santa Cruz-Watsonville, CA",42100,3388.65,3452.15,3016.74,9.296953948,3286
"San Jose-Sunnyvale-Santa Clara, CA",41940,3099.39,2899.41,3071.1,,3023
"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,1808,2884.5,2427.22,,2373
"San Diego-Carlsbad, CA",41740,2499.43,2821.4,2736.57,,2686
"Oxnard-Thousand Oaks-Ventura, CA",37100,2289.04,2615.92,2708.02,17.16353646,2538
"Providence-Fall River, RI-MA",39300,1494.79,2492.5,1959.4,,1982
"Santa Maria-Santa Barbara, CA",42200,2598.81,2492.15,2858.26,5.187820844,2650
"Santa Rosa, CA",42220,1803.8,2467.88,2403.8,,2225
"Chicago-Joliet-Naperville, IL",16980,1745.78,2462.07,2001.53,,2070
"Washington-Arlington-Alexandria, DC-VA-MD",47900,2194.89,2454.56,2265.5,,2305
"Ithaca, NY",27060,1519.33,2382.75,2035.04,6.664101578,1979
"Utica-Rome, NY",46540,963.42,2377,1282.85,,1541
"Burlington-South Burlington, VT",15540,1501.65,2374,1934.22,,1937
"Binghamton, NY",13780,999.18,2361,1099.56,,1487
"Salinas, CA",41500,2637.18,2288,2330.56,9.897201171,2419
"Boulder, CO",14500,1765.29,2239.82,2099.85,19.18003843,2035
"Naples-Immokalee-Marco Island, FL",34940,1696.37,2183.8,2446.48,,2109
"Worcester, MA",49340,1560,2169.94,2028.76,,1920
"Riverside-San Bernardino-Ontario, CA",40140,1976.63,2169.49,2290.14,14.42517463,2145
"Charlottesville, VA",16820,1517.12,1939.76,1741.65,5.896602659,1733
"East Stroudsburg, PA",20700,1255.87,1934.5,1599.36,,1597
"Charleston-North Charleston, SC",16700,1758.68,1928.97,1831.74,23.75321054,1840
"Flagstaff, AZ",22380,1753.24,1916.1,1911.58,1.747602846,1860
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",37980,1662.61,1903.86,1808.23,7.781512711,1792
"Sacramento--Roseville--Arden-Arcade, CA",40900,1907.95,1884.46,1996.04,,1929
"Hartford-West Hartford-East Hartford, CT",25540,1386.68,1882.89,1775.64,,1682
"Denver-Aurora-Lakewood, CO",19740,1886.25,1851.64,1789.95,,1843
"Tampa-St. Petersburg-Clearwater, FL",45300,1810.25,1851.11,1866.88,19.02432447,1843
"Santa Fe, NM",42140,1406.55,1849.36,1888.26,10.78369906,1715
"Bellingham, WA",13380,1399.86,1835.41,1690.23,,1642
"Visalia-Porterville, CA",47300,1145.22,1828.83,1315.27,,1430
"Bend-Redmond, OR",13460,1342.73,1826.96,1804.8,,1658
"Ann Arbor, MI",11460,1398.79,1814.2,1878.16,0.859529085,1697
"Blacksburg-Christiansburg-Radford, VA",13980,999.89,1812.78,1216.63,,1343
"Bremerton-Silverdale, WA",14740,1693.04,1783.08,1831.04,,1769
"Scranton--Wilkes-Barre, PA",42540,967.25,1774.33,1175.77,1.833073323,1306
"Winchester, VA-WV",49020,1282.29,1773.86,1599.37,5.690280695,1552
"Albany-Schenectady-Troy, NY",10580,1276.18,1754.92,1520.85,1.411984917,1517
"Kingston, NY",28740,1430.77,1753,1765.12,2.804327277,1650
"Orlando-Kissimmee-Sanford, FL",36740,1821.41,1750.2,1824.4,27.78099041,1799
"Salisbury, MD",41540,1176.22,1741.07,1630.77,,1516
"Olympia-Tumwater, WA",36500,1615.71,1734.43,1790.82,,1714
"Cape Coral-Fort Myers, FL",15980,1601.12,1721.31,1751.39,9.355610007,1691
"Eugene-Springfield, OR",21660,1186.19,1706.23,1705.58,16.81110294,1533
"Atlanta-Sandy Springs-Roswell, GA",12060,1754.97,1702.96,1674.46,,1711
"Asheville, NC",11700,1409.63,1701.7,1549.04,,1553
"Wenatchee, WA",48300,1201.36,1701.6,1755.59,,1553
"Pittsburgh, PA",38300,1113.01,1692.35,1353.28,,1386
"Fort Collins, CO",22660,1516.97,1687.3,1679.44,,1628
"Modesto, CA",33700,1341.45,1685.02,1698.96,19.47350494,1575
"Allentown-Bethlehem-Easton, PA",10900,1280.93,1684.34,1626.22,,1530
"Carson City, NV",16180,1209.64,1683.3,1611.33,3.421309873,1501
"Madison, WI",31540,1321.31,1669.33,1586.48,,1526
"Lancaster, PA",29540,1157.68,1667.95,1225.17,,1350
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,1753.73,1665.4,1670.45,,1697
"Corvallis, OR",18700,1285.64,1665.33,1610.29,8.268430599,1520
"Fairbanks, AK",21820,1359.47,1663.5,1722.57,,1582
"Eau Claire, WI",20740,895.54,1662.18,1028.55,,1195
"Virginia Beach-Norfolk-Newport News, VA-NC",47260,1571.18,1654.33,1550.17,,1592
"Savannah, GA",42340,1505.47,1641.75,1652.58,26.67036703,1600
"Portland-Vancouver-Hillsboro, OR-WA",38900,1807.8,1640.16,1696.79,16.11726264,1715
"Atlantic City-Hammonton, NJ",12100,1540.78,1637,1794.54,1.29039466,1657
"Duluth, MN-WI",20260,933.47,1636.86,1222.35,,1264
"Missoula, MT",33540,1146.79,1628.71,1254.55,,1343
"Reading, PA",39740,1164.71,1627.8,1195.82,0.988764045,1329
"Detroit-Warren-Livonia, MI",19820,1185.28,1614.85,1381.2,,1394
"Baltimore-Columbia-Towson, MD",12580,1811.27,1613.6,1727.52,14.3802729,1717
"Merced, CA",32900,1253.81,1607.57,1347.99,0,1403
"Reno, NV",39900,1491.19,1602.49,1684.75,24.03251458,1593
"Stockton-Lodi, CA",44700,1493.91,1600.07,1924.41,15.40160262,1673
"Fresno, CA",23420,1282.02,1591.86,1560.71,4.002025426,1478
"Charlotte-Concord-Gastonia, NC-SC",16740,1747.63,1591.81,1572.67,,1637
"New Orleans-Metairie, LA",35380,1288.92,1587.27,1482.75,,1453
"Harrisonburg, VA",25500,1144.92,1584.67,1375.85,5.229169948,1368
"Rochester, MN",40340,1121.5,1578.95,1438.27,,1380
"Norwich-New London, CT",35980,1405.11,1571.14,1621.9,,1533
"Deltona-Daytona Beach-Ormond Beach, FL",19660,1464.17,1566,1602.24,,1544
"La Crosse-Onalaska, WI-MN",29100,929.84,1565.67,962.64,,1153
"Janesville-Beloit, WI",27500,936.86,1563.5,933.8,,1145
"Dover, DE",20100,1228.24,1563.43,1612.49,9.394013142,1468
"Walla Walla, WA",47460,1140.89,1553.75,1362.53,12.70386266,1352
"Medford, OR",32780,1185.94,1552,1458.07,,1399
"Richmond, VA",40060,1622.25,1543.66,1548.32,9.929295124,1571
"Great Falls, MT",24500,895,1539,1124.6,4.460966543,1186
"St. George, UT",41100,1204.67,1537.2,1573.88,6.544850498,1439
"Anchorage, AK",11260,1302.2,1532.12,1482.61,,1439
"Myrtle Beach-North Myrtle Beach-Conway, SC",34820,1233.9,1528.39,1663.74,,1475
"Cleveland, TN",17420,943.3,1527.12,1441.9,1.577669903,1304
"Palm Bay-Melbourne-Titusville, FL",37340,1494.64,1524.88,1686.61,10.04099153,1569
"Trenton, NJ",45940,1786.94,1523,2385.08,,1898
"Chico, CA",17020,1145.74,1513.14,1453.41,10.56812871,1371
"Austin-Round Rock, TX",12420,1744.59,1513.11,1511.8,,1590
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,1054.94,1505.82,1272.79,,1278
"Rochester, NY",40380,1186.98,1504.91,1414.24,,1369
"Cincinnati, OH-KY-IN ",17140,1054.36,1504.08,1390.25,,1316
"Bakersfield, CA",12540,1211.38,1500.48,1405.25,,1372
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,1472.73,1500.4,1550.47,,1508
"Knoxville, TN",28940,1315.89,1500.33,1577.79,,1465
"Ocala, FL",36100,1159.42,1497.22,1412.56,2.38948626,1356
"Erie, PA",21500,896.21,1496.2,831.32,,1075
"Coeur d'Alene, ID",17660,1242.25,1496.18,1573.46,12.15903837,1437
"Phoenix-Mesa-Scottsdale, AZ",38060,1833.91,1495.28,1551.61,,1627
"Wilmington, NC",48900,1530.73,1489.42,1472.56,,1498
"Brunswick County, NC",48900,1201.6,1489.42,1472.56,,1388
"Yuba City, CA",49700,1299.58,1486,1355.17,,1380
"Logan, UT-ID",30860,954.62,1483.21,1057.09,,1165
"Mankato-North Mankato, MN",31860,995.2,1481.5,1071.49,,1183
"Lebanon, PA",30140,1075.3,1473.4,1242.02,3.036238981,1264
"Lakeland-Winter Haven, FL",29460,1205.72,1470.91,1640.5,15.19531922,1439
"Billings, MT",13740,998.84,1470,1169.9,,1213
"Wausau, WI",48140,819.31,1464,870.28,,1051
"York-Hanover, PA",49620,1132.96,1456.05,1067.89,2.265712222,1219
"Gainesville, GA",23580,1438.05,1454.78,1570.81,34.42480942,1488
"Vineland-Bridgeton, NJ",47220,1365.6,1453,1704.91,,1508
"Mansfield, OH",31900,805.4,1451,746.74,,1001
"Pensacola-Ferry Pass-Brent, FL",37860,1427.74,1450.48,1523.01,9.039181792,1467
"Salem, OR",41420,1352.43,1446.89,1500.11,3.124265126,1433
"Colorado Springs, CO",17820,1636.23,1438.32,1530.68,,1535
"Albany, OR",10540,1273.74,1436.33,1482.7,,1398
"Appleton, WI",11540,901.5,1432.7,1041.35,,1125
"Gainesville, FL",23540,1331.37,1423.06,1525.32,,1427
"Hickory-Lenoir-Morganton, NC",25860,935.14,1414.75,1302.38,0.809615224,1217
"Las Vegas-Henderson-Paradise, NV",29820,1590.82,1411.84,1526.74,,1510
"Roanoke, VA",40220,970.1,1407.1,1266.5,,1215
"Syracuse, NY",45060,1118.43,1405.82,1467.98,1.542753638,1331
"Tallahassee, FL",45220,1221.48,1404.96,1419.23,,1349
"Jacksonville, FL",27260,1595.41,1404.38,1516.54,,1505
"Hinesville, GA",25980,1321.8,1399.83,1524.87,,1416
"Panama City, FL",37460,1452.14,1399.7,1538.61,,1463
"Green Bay, WI",24580,949.33,1399.17,922.15,,1090
"Brunswick, GA",15260,1166.38,1396.74,1553.93,,1372
"Mount Vernon-Anacortes, WA",34580,1453.53,1389.5,1946.04,,1596
"Cincinnati, OH-KY-IN ",17140,1054.36,1380,889.46,,1108
"Greeley, CO",24540,1410.39,1369.83,1517.96,10.86372632,1433
"State College, PA",44300,1258.81,1363.17,1550.88,4.131497112,1391
"Spokane, WA",44060,1169.7,1361.34,1366.27,,1299
"Chambersburg-Waynesboro, PA",16540,1032.75,1357.5,1009.21,,1133
"Houston-The Woodlands-Sugar Land, TX",26420,1373.18,1357.22,1461.8,,1397
"Champaign-Urbana, IL",16580,931.72,1352.18,1026.37,,1103
"Columbus, OH",18140,1238.89,1351.74,1365.64,,1319
"Grand Junction, CO",24300,1050.35,1347,1306.06,,1234
"Kennewick-Richland, WA",28420,1282.67,1335.92,1583.73,25.33878505,1401
"Harrisburg-Carlisle, PA",25420,1140.92,1335.9,1241.51,7.620183188,1239
"St. Louis, MO-IL",41180,1034.1,1334.01,1271.2,,1213
"Athens-Clarke County, GA",12020,1167.15,1330.38,1617.96,7.274171584,1372
"Albuquerque, NM",10740,1144.48,1329.55,1360.09,21.23396331,1278
"Bismarck, ND",13900,930.07,1326.71,1239.88,,1166
"Chattanooga, TN-GA",16860,1333.92,1325.78,1323.38,8.178981421,1328
"South Bend-Mishawaka, IN",43780,973.53,1310.28,1253.33,,1179
"Rome, GA",40660,934.33,1309,996.66,,1080
"Provo-Orem, UT",39340,1249.24,1305.23,1488.7,,1348
"Staunton-Waynesboro, VA",44420,1181,1295,1087.34,,1188
"Kansas City, MO-KS",28140,1260.92,1292.44,1360.85,,1305
"Birmingham-Hoover, AL",13820,1201.15,1290.42,1273.93,,1255
"Jackson, TN",27180,957.56,1284.86,1103.88,,1115
"Elizabethtown, KY",21060,882.44,1283.75,1088.6,,1085
"Columbia, SC",17900,1232.05,1280.06,1346.93,,1286
"Crestview-Fort Walton Beach-Destin, FL",18880,1508.44,1276.57,1693.01,,1493
"Idaho Falls, ID",26820,1156.7,1275.5,1002.43,,1145
"Indianapolis-Carmel, IN",26900,1176.31,1271.11,1368.3,,1272
"Oshkosh-Neenah, WI",36780,839.18,1266.5,1033.31,,1046
"Clarksville, TN-KY",17300,1061.83,1260.88,1162.39,,1162
"Rapid City, SD",39660,880.96,1260.81,1149.92,,1097
"Redding, CA",39820,1261.85,1257.5,1257.22,5.494100295,1259
"Lincoln, NE",30700,982.75,1256.59,1157.23,,1132
"Sheboygan, WI",43100,902.59,1254.67,891.94,3.550661883,1016
"Fort Wayne, IN",23060,1035.22,1254.47,1109.46,0.942375484,1133
"Laredo, TX",29700,988.45,1253.77,1169.58,1.894338034,1137
"Louisville, KY-IN",31140,1144.88,1253.6,1277.7,,1225
"Valdosta, GA",46660,922,1238.06,1222.34,0.859234115,1127
"Fayetteville, NC",22180,1118.18,1238.05,1262.33,,1206
"Rockford, IL",40420,973.26,1236.7,986,,1065
"Auburn-Opelika, AL",12220,1027.18,1227.53,1378.89,3.089945633,1211
"Omaha-Council Bluffs, NE-IA",36540,1098.38,1220.5,1246.9,,1189
"Grand Forks, ND-MN",24220,809.2,1219.03,968.21,,999
"Pueblo, CO",39380,1054.65,1216.91,1133.69,,1135
"Columbus, IN",18020,1150.94,1214.47,1046.01,,1137
"Des Moines-West Des Moines, IA",19780,1036.15,1208.13,1087.53,,1111
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,1472.73,1208,1264.64,,1315
"Lansing-East Lansing, MI",29620,935.34,1208,1062.77,,1069
"Longview, WA",31020,1345.08,1206,1199.36,,1250
"Rocky Mount, NC",40580,961.79,1205.2,963.48,,1043
"Cheyenne, WY",16940,933.12,1203.5,1088.04,,1075
"Las Cruces, NM",29740,985.71,1197,897.67,1.41830001,1027
"Akron, OH",10420,936.9,1191.6,1050.21,0.422454074,1060
"San Antonio-New Braunfels, TX",41700,1319.43,1191.02,1275.47,,1262
"Hammond, LA",25220,991.13,1186.33,1187.42,10.6870229,1122
"Bloomington, IL",14010,868.03,1183.62,933.43,0.953151176,995
"Lynchburg, VA",31340,1104.96,1180.62,990.18,,1092
"Tucson, AZ",46060,1190.66,1179.42,1205.98,17.47321716,1192
"Florence, SC",22500,886.67,1176.75,1349.78,,1138
"Jacksonville, NC",27340,1014.21,1175.9,1082.97,2.534051315,1091
"Huntsville, AL",26620,1162.91,1168.83,1260.03,14.06524027,1197
"Memphis, TN-MS-AR",32820,1289.32,1161.63,1226.52,,1226
"Williamsport, PA",48700,963.45,1158.5,905.91,,1009
"Terre Haute, IN",45460,802.36,1158.33,816.21,,926
"Sherman-Denison, TX",43300,1217.48,1155.17,1208.87,11.79563003,1194
"St. Cloud, MN",41060,936.11,1153.33,1264.64,2.65110804,1118
"Tyler, TX",46340,1118.62,1152.5,1354.68,21.49989068,1209
"Houma-Thibodaux, LA",26380,972.54,1152.25,1305.8,,1144
"Hattiesburg, MS",25620,962.32,1149.92,1303.91,,1139
"Tuscaloosa, AL",46220,947.71,1147.66,1011.38,,1036
"Columbus, GA-AL",17980,1003.93,1145.59,1071.97,,1074
"Huntington-Ashland, WV-KY-OH",26580,870.96,1145,899.66,,972
"Sioux Falls, SD",43620,905.85,1144.52,1051.72,,1034
"Baton Rouge, LA",12940,1118.5,1139.47,1201.3,,1153
"Augusta-Richmond County, GA-SC",12260,1076.78,1126.38,1247.21,,1150
"Corpus Christi, TX",18580,1180.26,1126.05,1113.34,3.062447408,1140
"Davenport-Moline-Rock Island, IA-IL",19340,879.02,1118.25,829.98,,942
"Wheeling, WV-OH",48540,834.12,1116.67,767.66,,906
"Altoona, PA",11020,921.13,1116,786.05,,941
"Fargo, ND-MN",22020,864.11,1110.64,959.12,,978
"Yakima, WA",49420,1091.69,1109,1114.67,1.572868027,1105
"Watertown-Fort Drum, NY",48060,997.37,1106.8,1151.64,,1085
"Columbia, MO",17860,873.12,1106.2,1092.96,,1024
"El Paso, TX",21340,1079.34,1105.48,1050.08,,1078
"Fayetteville-Springdale-Rogers, AR",22220,971.16,1103,1293.47,4.228100607,1123
"Fond du Lac, WI",22540,883.85,1098.33,990.38,,991
"Lafayette, LA",29180,961.94,1096.47,1172.2,,1077
"Elkhart-Goshen, IN",21140,910.05,1096.42,970.39,,992
"Waco, TX",47380,1161.76,1093.71,1337.6,,1198
"Montgomery, AL",33860,933.55,1093.43,1253.89,0.965600483,1094
"College Station-Bryan, TX",17780,1101.03,1089.3,1246.1,7.463728191,1145
"Sioux City, IA-NE-SD",43580,835.18,1089.15,1129.2,,1018
"Yuma, AZ",49740,1112.73,1088.75,1110.72,5.22236575,1104
"Lawrence, KS",29940,1005.38,1088,1217.44,2.673796791,1104
"Bowling Green, KY",14540,999.55,1087.05,1015.28,,1034
"Jackson, MI",27100,973.06,1086.57,841.3,,967
"Greenville, NC",24780,892.05,1085.78,1261.65,,1080
"Springfield, OH",44220,870.46,1076,822.37,,923
"San Angelo, TX",41660,1039.62,1072.04,993.08,,1035
"Jackson, MS",27140,1096.77,1063.91,1340.7,,1167
"Peoria, IL",37900,814.95,1058.5,908.11,,927
"Longview, TX",30980,1014.4,1058.36,984.84,,1019
"Evansville, IN-KY",21780,845.57,1054.55,943.45,,948
"Monroe, MI",33780,1074.68,1053.67,1365.56,,1165
"Sierra Vista-Douglas, AZ",43420,1146.4,1050.5,993.81,0.705965408,1064
"Ames, IA",11180,970.73,1036.14,954.24,,987
"Oklahoma City, OK",36420,1015.03,1035.34,1105.78,,1052
"Victoria, TX",47020,1104,1030.72,964.95,,1033
"Springfield, IL",44100,955.25,1028.75,987.12,2.730244184,990
"Little Rock-North Little Rock-Conway, AR",30780,910.26,1025.72,997.97,,978
"Beaumont-Port Arthur, TX",13140,949.77,1023.91,996.91,3.145558315,990
"Springfield, MO",44180,812.18,1023.67,943.48,,926
"Casper, WY",16220,907.38,1013.11,1185.12,,1035
"Abilene, TX",10180,968.79,1003.86,1183.6,5.650975403,1052
"Tulsa, OK",46140,976.26,1002.94,1105.66,,1028
"Killeen-Temple, TX",28660,1017.21,1001.34,1074.03,,1031
"Lake Charles, LA",29340,906.57,997.15,955.33,5.749224311,953
"Pocatello, ID",38540,901.5,995.67,925.64,,941
"Gulfport-Biloxi, MS",25060,926,995.6,1336.64,,1086
"Anniston-Oxford-Jacksonville, AL",11500,781.18,973.67,735.58,,830
"Muncie, IN",34620,813.92,972.5,809.17,,865
"Shreveport-Bossier City, LA",43340,937.3,971.64,1321.18,4.424862611,1077
"Canton-Massillon, OH",15940,785.07,968.7,928.43,0.495785821,894
"Manhattan, KS",31740,840.6,963.88,844.86,,883
"Hot Springs, AR",26300,851.43,963,969.41,,928
"Cedar Rapids, IA",16300,817.57,961.44,785.31,,855
"Sumter, SC",44940,973.12,955.38,950.27,,960
"Wichita Falls, TX",48660,932.54,953.25,862.32,2.254226675,916
"Florence-Muscle Shoals, AL",22520,798.77,951,753.23,,834
"Lubbock, TX",31180,1028.93,939.78,967.48,,979
"Amarillo, TX",11100,980,929.9,870.62,,927
"Monroe, LA",33740,795.56,922.7,936.06,,885
"Albany, GA",10500,978.56,919.14,720.56,,873
"Topeka, KS",45820,800.45,913.1,1068.7,,927
"Wichita, KS",48620,829.4,912.03,887.97,,876
"Joplin, MO",27900,853.68,895.5,835.58,,862
"Toledo, OH",45780,847.66,887.19,1090.75,,942
"Flint, MI",22420,874.19,870.45,996.03,,914
"Lawton, OK",30020,796.96,806.6,860.81,,821
"Fort Smith, AR-OK",22900,718.05,798,748.93,,755
"Youngstown-Warren-Boardman, OH",49660,733.62,754,788.76,,759
"Charleston, WV",16620,870.43,749,938.34,,853
"Johnstown, PA",27780,792.35,686,742.92,,740
"Jefferson City, MO",27620,702.48,681,714.73,,699
"Waterloo-Cedar Falls, IA",47940,770.27,615,884.65,,757
